Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Green acres	b0f754947feec7445bef5adee1304c04cb08f553	-35.01105261224829	138.61266502086855	AUS	South Australia	5051	40303106717	Mitcham (C)	9.821448150537083	-35.04622561224829	138.61990199161056	AUS	South Australia	5051	40304107606	Onkaparinga (C)	12.192322003347467
OTR Green acres	77b8f6d6ef5c26f67ef86fed1ec8d377d55a12f0	-34.82664268966966	138.48728936980083	AUS	South Australia	5016	40402109903	Port Adelaide Enfield (C)	9.074340449829094	-34.82665368966966	138.48728936978952	AUS	South Australia	5016	40402109903	Port Adelaide Enfield (C)	9.07408510430754
OTR Green acres	b01df3ccc7be1b788dbf283d70ae6bc2b247058d	-34.86960123017122	138.64579870994294	AUS	South Australia	5087	40203103810	Port Adelaide Enfield (C)	0.4526622187312905	-34.86960623017122	138.64580870996073	AUS	South Australia	5087	40203103810	Port Adelaide Enfield (C)	0.4531717720423657
OTR Green acres	45733101d4097a943e90e0ced76df30e90a0980f	-34.92615913723683	138.6648954767486	AUS	South Australia	5066	40103101119	Burnside (C)	4.137976902624884	-34.92616213723683	138.66489447675772	AUS	South Australia	5066	40103101119	Burnside (C)	4.138148697615544
OTR Green acres	54b5eb2810517bff234d36b05780f018aad8592d	-34.768669914637215	138.7069894365445	AUS	South Australia	5125	40205105008	Tea Tree Gully (C)	8.067128460757637	-34.768669914637215	138.70711143654447	AUS	South Australia	5125	40205105008	Tea Tree Gully (C)	8.070499390306097
OTR Green acres	7b89123f5c2f346d1052ebf3ae2139cbdce014cd	-34.83761688484507	138.67397958095458	AUS	South Australia	5093	40203103728	Tea Tree Gully (C)	3.0643467448874504	-34.83761788484507	138.67398358095474	AUS	South Australia	5093	40203103728	Tea Tree Gully (C)	3.0644469645722086
OTR Green acres	dc9e0afeff9f0fd9a22c57b8d492615e38e1917a	-34.84827877461371	138.65691292116304	AUS	South Australia	5086	40203103737	Port Adelaide Enfield (C)	1.8822216712702837	-34.84827077461371	138.6569109211845	AUS	South Australia	5086	40203103737	Port Adelaide Enfield (C)	1.8826102323399543
OTR Green acres	7d9f26ac805739bd5c90eaaf266ad43b9ca205f0	-34.85620123673215	138.63600058970124	AUS	South Australia	5085	40203103730	Port Adelaide Enfield (C)	1.0005274306855838	-34.924865236732145	138.59842489619743	AUS	South Australia	5000	40101100147	Adelaide (C)	4.372397031758068
OTR Green acres	4f8abf090746c7ec193717155fae32e64f8c0768	-34.069729034182565	137.55647366443668	AUS	South Australia	5558	40504112504	Copper Coast (DC)	82.89542223236872	-34.069884034182564	137.55645266441596	AUS	South Australia	5558	40504112504	Copper Coast (DC)	82.88910659741683
OTR Green acres	457e7dc08c2b0e56da80857a67338e1837970c2c	-34.869470746833265	138.61217930871388	AUS	South Australia	5083	40203103636	Port Adelaide Enfield (C)	1.4623921361701475	-34.86947374683327	138.61217830870382	AUS	South Australia	5083	40203103636	Port Adelaide Enfield (C)	1.462437905228923
OTR Green acres	a5cdcb58fff7ddab35f2dc885cbab31c894147d1	-34.84309109273648	138.67650945951556	AUS	South Australia	5092	40205105227	Tea Tree Gully (C)	2.9008833035488157	-34.84309609273648	138.67649545952725	AUS	South Australia	5092	40205105227	Tea Tree Gully (C)	2.9000564394136683
