Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
OTR Woodville South	2112ef014d4a43d16f4ef3459480102dc1546edb	-34.909834066808585	138.5389928723524	AUS	40401109113		Charles Sturt C	Flinders Park	South Australia		5025			1.7823406890407574	-35.148053066808586	138.51002723973193	AUS	40304107915		Onkaparinga C	Hackham West - Huntfield Heights	South Australia		5163			18.24808645599767
OTR Woodville South	3405e915b83f697d7715124b42f87e5cea31588a	-34.79725842164674	138.63380984254917	AUS	40204104201		Salisbury C	Parafield	South Australia		5106			8.394451684047603	-35.012423421646744	138.5418867371886	AUS	40302106431		Marion C	Warradale	South Australia		5046			8.846027310370195
OTR Woodville South	1877bddec984e9e66f02794ad37d3132be11b119	-34.88670919458846	138.53641716967752	AUS	40401109006		Charles Sturt C	Beverley	South Australia		5011			0.31141908089324455	-34.88658219458846	138.53635016908225	AUS	40401109006		Charles Sturt C	Beverley	South Australia		5011			0.30435544483350746
OTR Woodville South	b194aed7cdd87dabdf488af2a0fed4c76203284e	-34.88246332606659	138.53011216029657	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.17966421261299317	-35.18291532606659	138.7595184814054	AUS	40102100820		Mount Barker DC	Mount Barker Region	South Australia		5201			24.331710888009273
OTR Woodville South	9b9560d0d7aa864401572565f58a43d63d08f926	-34.9144616148255	138.51465486908106	AUS	40401109210		Charles Sturt C	Henley Beach	South Australia		5024			2.26025310855865	-34.8375356148255	138.5611118177594	AUS	40402110221		Port Adelaide Enfield C	The Parks	South Australia		5013			3.6792281201895847
OTR Woodville South	3a5e004adbb8f21eee5eb1e4719bd6ac516de4b9	-34.89333463727984	138.5621764763919	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			1.8409827656034816	-34.893313637279846	138.5621634763782	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			1.839819968424401
OTR Woodville South	54b2a7ad8a20a06ffe0120418b4681d8119bee75	-34.881112972133415	138.56190255354738	AUS	40402110216		Port Adelaide Enfield C	The Parks	South Australia		5008			1.7478600649839258	-34.881106972133416	138.56178555354748	AUS	40402110216		Port Adelaide Enfield C	The Parks	South Australia		5008			1.7413547663492528
OTR Woodville South	bb2f3b55238c69f9a36e723443ba6bcbdfc3c366	-34.84544729746541	138.53384232602153	AUS	40402110101		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.7271401029824545	-34.84543929746541	138.53392532604366	AUS	40402110101		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.7279329713369864
OTR Woodville South	3e570df7b91b5d517a5b6ac7cec7d49ca759b8f0	-34.98636210504801	138.5604199545648	AUS	40302105814		Marion C	Edwardstown	South Australia		5043			7.213249271646424	-34.986361105048005	138.56041795456287	AUS	40302105814		Marion C	Edwardstown	South Australia		5043			7.213156079827964
OTR Woodville South	be2c1d5e5f032f4c7ea98b3e65a743c7710fb18c	-34.795465477426085	138.72499425427338	AUS	40205105429		Tea Tree Gully C	Redwood Park	South Australia		5126			12.607882487436232	-34.79543847742609	138.72513725428968	AUS	40205105429		Tea Tree Gully C	Redwood Park	South Australia		5126			12.61587569752798
OTR Woodville South	205d2637538cb145d765a23aa92eb36fd4aee5f3	-34.91462457691687	138.5422334638313	AUS	40401109117		Charles Sturt C	Flinders Park	South Australia		5025			2.1504678209906967	-34.91462057691687	138.5422424638176	AUS	40401109117		Charles Sturt C	Flinders Park	South Australia		5025			2.1503481597794596
OTR Woodville South	3a53612934437e4fb6486e6b0f72946f7c965793	-34.886007197915646	138.5476780629959	AUS	40401109732		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			0.925378254896631	-34.88601119791565	138.54765906299255	AUS	40401109732		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			0.9243289331493153
OTR Woodville South	62cfad0a1ba6c6ba6c6baf3a576595b054eb7152	-34.903140971339184	139.5870187475879	AUS	40703116401		Mid Murray DC	Mannum	South Australia		5238			59.90141460123956	-34.902942971339186	139.58705974654694	AUS	40703116401		Mid Murray DC	Mannum	South Australia		5238			59.90352417374896
OTR Woodville South	5ec030c289bcf9cf46779beb4be301d4607cdc8d	-34.89873811973363	138.536818533833	AUS	40401109121		Charles Sturt C	Flinders Park	South Australia		5023			1.0097927024028195	-34.89873511973363	138.5368275338423	AUS	40401109121		Charles Sturt C	Flinders Park	South Australia		5023			1.0097495790873383
OTR Woodville South	fbeb44dafb5f569f4202eb005c56702e3c15d0a1	-34.881983296889025	138.52818106341246	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.26954918508212966	-34.88198229688902	138.52820006340818	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.26886287178707674
OTR Woodville South	ba994735e16e7db58d18a6faac706afc08757da3	-34.95931462681599	138.550767068425	AUS	40403110746		West Torrens C	Plympton	South Australia		5037			5.267961925141986	-34.95931162681599	138.5507770684206	AUS	40403110746		West Torrens C	Plympton	South Australia		5037			5.267877049824612
OTR Woodville South	bb8694e3c4188248c56a972b9985b12f2f71189d	-34.85530174391877	138.5067664642078	AUS	40402110116		Port Adelaide Enfield C	Port Adelaide	South Australia		5015			2.4758137368210784	-34.855289743918775	138.50677646420337	AUS	40402110116		Port Adelaide Enfield C	Port Adelaide	South Australia		5015			2.476177724311651
OTR Woodville South	44d65ab94f67dc3c1a7d5cd381b87ed3762a5b4a	-34.87482143467956	138.58535338024848	AUS	40106102132		Prospect C	Prospect	South Australia		5082			3.1369302312246714	-34.87485443467956	138.58536938022496	AUS	40106102132		Prospect C	Prospect	South Australia		5082			3.137312664883244
OTR Woodville South	c0921108fd0f18fddc02bd94d7a0bdbcd0db51f6	-34.89595783121404	138.66431842168922	AUS	40104101618		Campbelltown C SA	Rostrevor - Magill	South Australia		5073			7.578766690585492	-34.89597183121404	138.664326421693	AUS	40104101618		Campbelltown C SA	Rostrevor - Magill	South Australia		5073			7.57931606056156
OTR Woodville South	9e8cdbba51d960f82c6f7a9dd1b8646f23a74089	-34.64273162734542	138.64331349573644	AUS	40202103208		Playford C	Munno Para West - Angle Vale	South Australia		5117			17.911913964910323	-34.593901627345424	138.75522854543712	AUS	40201102643		Gawler T	Gawler - South	South Australia		5118			23.806839339891663
OTR Woodville South	80a52e119848145efdd51126c745d91b72ef5ae0	-34.85737605613982	138.54637629042128	AUS	40401109718		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			2.079376184705365	-34.85737805613982	138.54636329043151	AUS	40401109718		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			2.0789490783662177
OTR Woodville South	5f651ed26e3c6c72daeb56e00ebfa3bbdd47bb90	-34.92348593055018	138.54995886703955	AUS	40403110617		West Torrens C	Lockleys	South Australia		5032			2.8733625649717776	-34.92348593055018	138.54995486703956	AUS	40403110617		West Torrens C	Lockleys	South Australia		5032			2.8732795807309133
OTR Woodville South	95be9c53ad961094da8c99e573c48ead3b1da59b	-34.881041768576175	138.54055861561318	AUS	40401109712		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			0.5801421274818062	-34.88104876857617	138.54055561562924	AUS	40401109712		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			0.5797719342687504
OTR Woodville South	51559c7c2f8858384155e4ef461dac680918fc80	-34.97603707914536	138.55133863863102	AUS	40302106205		Marion C	Morphettville	South Australia		5038			6.409468132996003	-34.976029079145356	138.55133663862705	AUS	40302106205		Marion C	Morphettville	South Australia		5038			6.408903451361402
OTR Woodville South	5519cd4fd12d1bae895105672268157a699423cb	-34.89456110129099	138.55647703096986	AUS	40401109335		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			1.5724816030720548	-34.894560101290985	138.55647403096978	AUS	40401109335		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			1.5722981747756495
OTR Woodville South	634679fd5bfe5631b00f6c182424ce53d0e50f32	-34.69476993263007	138.70902207183832	AUS	40202102801		Playford C	Craigmore - Blakeview	South Australia		5114			16.57086750605483	-34.59181593263007	138.7372024824576	AUS	40201102508		Gawler T	Gawler - North	South Australia		5118			23.40038694611585
OTR Woodville South	c102a73356500c189a35133b9e80a1dcb91fd345	-34.893919191891754	138.53140175997	AUS	40401109127		Charles Sturt C	Flinders Park	South Australia		5023			0.6291286064479662	-34.92681319189175	138.60522587288156	AUS	40101100141		Adelaide C	Adelaide	South Australia		5000			5.094934348288904
OTR Woodville South	5dfc34e365031a8702f18917fc8b2d37ea8e747b	-34.89492719476817	138.52713018940113	AUS	40401109126		Charles Sturt C	Flinders Park	South Australia		5023			0.7402654584786816	-34.88618919476817	138.5233401455664	AUS	40401109019		Charles Sturt C	Beverley	South Australia		5011			0.468805517400186
OTR Woodville South	2ee5bb95ccbdc75b3a82e95298736e07e8f0b2b8	-34.87089949300499	138.54753858273463	AUS	40401109724		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			1.3277557881329698	-34.870862493004985	138.54753458252196	AUS	40401109724		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			1.3294576255196175
OTR Woodville South	e03c096dd4bb790a640e52a576b03d0942c4cfe2	-34.786068400485064	138.59942514894763	AUS	40204104341		Salisbury C	Parafield Gardens	South Australia		5107			7.846273172914271	-34.79236440048506	138.69324513055983	AUS	40205104914		Tea Tree Gully C	Golden Grove	South Australia		5125			11.19351357048071
OTR Woodville South	612dec836a86dc59c0476d05f2244139a4f28dce	-34.96716357959241	138.61174943914597	AUS	40303106912		Mitcham C	Mitcham (SA)	South Australia		5062			7.292885181735318	-34.90841257959241	138.5652673049246	AUS	40401109342		Charles Sturt C	Hindmarsh - Brompton	South Australia		5007			2.5192845161273576
OTR Woodville South	f6e9c545c12d420d21cf29515409eaa901a193fa	-34.900245272334864	138.54237532357138	AUS	40401109120		Charles Sturt C	Flinders Park	South Australia		5023			1.2342102957564807	-34.82343327233486	138.50521418605064	AUS	40402109922		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5016			4.499674958125745
OTR Woodville South	eaa9a5e5744556f11a8ef12ac9fffcf46bb35bbf	-34.89211250084029	138.57849072428124	AUS	40401109310		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.7171617777875468	-34.89232150084029	138.57850172408976	AUS	40401109310		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.7204905712767236
OTR Woodville South	28e79963b6aca5b3df42d309cfa3030522aba5ad	-34.8831961560981	138.51694698287358	AUS	40401109511		Charles Sturt C	Seaton - Grange	South Australia		5023			0.8296374387268152	-34.883189156098105	138.51692598285976	AUS	40401109511		Charles Sturt C	Seaton - Grange	South Australia		5023			0.8308837954056233
OTR Woodville South	fb1376159121bb7d945e1eb8e4e7f206a2fbc4c6	-34.14933166890596	140.71781043929076	AUS	40703116809		Renmark Paringa DC	Renmark Region	South Australia		5341			134.5908529092984	-34.14933266890596	140.71779843929602	AUS	40703116809		Renmark Paringa DC	Renmark Region	South Australia		5341			134.59019294090885
OTR Woodville South	fb1ad7ade3f52e9896a5001a4b03091a784dc9e9	-34.89844097225286	138.499385911332	AUS	40401109503		Charles Sturt C	Seaton - Grange	South Australia		5022			2.0477198339387557	-34.898455972252854	138.49938091132725	AUS	40401109503		Charles Sturt C	Seaton - Grange	South Australia		5022			2.0484489816635048
OTR Woodville South	122d4f53f2585a949ddd09b17438f1546d97a806	-34.89532778653332	138.49673901070264	AUS	40401109531		Charles Sturt C	Seaton - Grange	South Australia		5022			2.0982553414872327	-34.90187478653333	138.49125404187103	AUS	40401109528		Charles Sturt C	Seaton - Grange	South Australia		5022			2.566597752397327
OTR Woodville South	e77faf67fd83ef2c0745bae15ecae6334cabf42f														-36.75489954785578	142.22266862123703	AUS	21501138827		Horsham RC	Horsham	Victoria		3401			244.09136951339227
OTR Woodville South	36c34a927a871b4348973f69fda35bd9ac1e9a02	-34.87020413537513	138.52503559359755	AUS	40401109735		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			1.0744490293057432	-34.87021713537513	138.52503059363178	AUS	40401109735		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			1.073698699110334
OTR Woodville South	2e9a50fd8be9616b7e31d1160754fc58f74cb580	-34.88388103155091	138.5356521157949	AUS	40401109007		Charles Sturt C	Beverley	South Australia		5011			0.24812083115754308	-34.9968260315509	138.60337900432128	AUS	40303106929		Mitcham C	Mitcham (SA)	South Australia		5062			8.755709647909615
OTR Woodville South	94e610ee30e8bb0cbc0d8c130718a4407cd83fd3	-34.85397858105613	138.516351793456	AUS	40402110123		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.2988621915552394	-34.853991581056135	138.51639579344996	AUS	40402110123		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.2970987680268062
OTR Woodville South	7cc8698f831b7d7559ae7b1a1f817ec1e80b0bc4	-34.88557573980956	138.69042510620426	AUS	40104101528		Campbelltown C SA	Paradise - Newton	South Australia		5074			9.021472974896513	-34.94075073980956	138.54820309148408	AUS	40403110401		West Torrens C	Adelaide Airport	South Australia		5950			3.98373028765588
OTR Woodville South	534357812df95ac934d216e40a569529a054b367	-34.88063236592609	138.5237009435161	AUS	40401109414		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5258826832391214	-34.94080236592609	138.5678790666456	AUS	40403110828		West Torrens C	Richmond (SA)	South Australia		5033			4.389368844142193
OTR Woodville South	5d86cc261d712d25afaed1ba7ea8376e5e958f4f	-35.01907830969697	138.52253046707816	AUS	40301105616		Holdfast Bay C	Brighton (SA)	South Australia		5048			9.300179067416023	-35.02550030969697	138.55213348761677	AUS	40302106108		Marion C	Mitchell Park	South Australia		5047			9.80119948838747
OTR Woodville South	b64c3848b026d8b25644b1b9628f4e8859b1e49d	-34.87720623166495	138.54693951117693	AUS	40401109730		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			1.025601059554125	-34.87721023166495	138.54692851117179	AUS	40401109730		Charles Sturt C	Woodville - Cheltenham	South Australia		5011			1.0249233915895624
OTR Woodville South	c1c8761673212e2279541cfb3fc02e2414336530	-35.326970386981344	140.51152111557312	AUS	40703116102		Southern Mallee DC	Karoonda - Lameroo	South Australia		5302			116.14550716625394													
OTR Woodville South	21228a09c2e2459bed833fe13e9a07dbc816afb7	-34.85872031469834	138.5229054556805	AUS	40402110126		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			1.869334290469137	-34.85871931469834	138.52289845568265	AUS	40402110126		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			1.8695039812129466
OTR Woodville South	18341379dbb799f1d806732d3c4c9ebae3085ffb	-34.86407563890235	138.55388223492992	AUS	40402110225		Port Adelaide Enfield C	The Parks	South Australia		5012			1.9190290599306559	-34.871583638902344	138.57038328334534	AUS	40402110218		Port Adelaide Enfield C	The Parks	South Australia		5010			2.3924840730623465
OTR Woodville South	76cc510e3940626a8e0746ac2e7ff0fdc78a6b6c	-34.98500585267334	138.59389076737696	AUS	40303106819		Mitcham C	Colonel Light Gardens	South Australia		5041			7.7822958484677285	-34.98498485267334	138.5938977673742	AUS	40303106819		Mitcham C	Colonel Light Gardens	South Australia		5041			7.781183334032537
OTR Woodville South	3c39c31608eacf2b3a0e22d4309aa3079bef819c	-34.72651113600105	138.6143358368879	AUS	40204104844		Salisbury C	Salisbury North	South Australia		5110			11.919979853597823	-34.724376136001055	138.6084778403786	AUS	40204104844		Salisbury C	Salisbury North	South Australia		5110			11.92980146605885
OTR Woodville South	ff00844566c561cdf6681cda54a0737021a2e51f	-34.88568776577163	138.50775429575214	AUS	40401109507		Charles Sturt C	Seaton - Grange	South Australia		5023			1.344876509620521	-34.88592276577163	138.50771229576446	AUS	40401109507		Charles Sturt C	Seaton - Grange	South Australia		5023			1.3480740930733874
OTR Woodville South	272f23020afc209b19d1df0d6bda63870f14f3a2	-34.86527549853048	138.53182099434488	AUS	40401109703		Charles Sturt C	Woodville - Cheltenham	South Australia		5013			1.3523581313464481	-34.86527349853048	138.5318149943478	AUS	40401109703		Charles Sturt C	Woodville - Cheltenham	South Australia		5013			1.3524909550795061
