Date	Polygon	Observed Devices
2019-12-07	Green Acres OTR	17
2019-12-08	Green Acres OTR	18
2019-12-09	Green Acres OTR	7
2019-12-10	Green Acres OTR	17
2019-12-11	Green Acres OTR	13
2019-12-12	Green Acres OTR	13
2019-12-13	Green Acres OTR	26
2019-12-14	Green Acres OTR	16
2019-12-15	Green Acres OTR	23
2019-12-16	Green Acres OTR	9
2019-12-17	Green Acres OTR	16
2019-12-18	Green Acres OTR	10
2019-12-19	Green Acres OTR	10
2019-12-20	Green Acres OTR	14
2019-12-21	Green Acres OTR	21
2019-12-22	Green Acres OTR	9
2019-12-23	Green Acres OTR	11
2019-12-24	Green Acres OTR	12
2019-12-25	Green Acres OTR	12
2019-12-26	Green Acres OTR	12
2019-12-27	Green Acres OTR	10
2019-12-28	Green Acres OTR	7
2019-12-29	Green Acres OTR	7
2019-12-30	Green Acres OTR	10
2019-12-31	Green Acres OTR	9
2020-01-01	Green Acres OTR	15
2020-01-02	Green Acres OTR	7
2020-01-03	Green Acres OTR	9
2020-01-04	Green Acres OTR	13
2020-01-05	Green Acres OTR	14
2020-01-06	Green Acres OTR	8
2020-01-07	Green Acres OTR	9
2020-01-08	Green Acres OTR	10
2020-01-09	Green Acres OTR	12
2020-01-10	Green Acres OTR	12
2020-01-11	Green Acres OTR	16
2020-01-12	Green Acres OTR	16
2020-01-13	Green Acres OTR	15
2020-01-14	Green Acres OTR	9
2020-01-15	Green Acres OTR	16
2020-01-16	Green Acres OTR	13
2020-01-17	Green Acres OTR	15
2020-01-18	Green Acres OTR	9
2020-01-19	Green Acres OTR	5
2020-01-20	Green Acres OTR	8
2020-01-21	Green Acres OTR	14
2020-01-22	Green Acres OTR	14
2020-01-23	Green Acres OTR	12
2020-01-24	Green Acres OTR	15
2020-01-25	Green Acres OTR	9
2020-01-26	Green Acres OTR	11
2020-01-27	Green Acres OTR	12
2020-01-28	Green Acres OTR	9
2020-01-29	Green Acres OTR	5
2020-01-30	Green Acres OTR	13
2020-01-31	Green Acres OTR	14
2020-02-01	Green Acres OTR	16
2020-02-02	Green Acres OTR	18
2020-02-03	Green Acres OTR	12
2020-02-04	Green Acres OTR	17
2020-02-05	Green Acres OTR	12
2020-02-06	Green Acres OTR	12
2020-02-07	Green Acres OTR	19
2020-02-08	Green Acres OTR	11
2020-02-09	Green Acres OTR	18
2020-02-10	Green Acres OTR	13
2020-02-11	Green Acres OTR	7
2020-02-12	Green Acres OTR	16
2020-02-13	Green Acres OTR	14
2020-02-14	Green Acres OTR	17
