Date	Polygon	Observed Devices
2020-02-29	Klemzig SA Competitor	71
2020-03-01	Klemzig SA Competitor	42
2020-03-02	Klemzig SA Competitor	56
2020-03-03	Klemzig SA Competitor	73
2020-03-04	Klemzig SA Competitor	62
2020-03-05	Klemzig SA Competitor	40
2020-03-06	Klemzig SA Competitor	60
2020-03-07	Klemzig SA Competitor	50
2020-03-08	Klemzig SA Competitor	50
2020-03-09	Klemzig SA Competitor	40
2020-03-10	Klemzig SA Competitor	39
2020-03-11	Klemzig SA Competitor	54
2020-03-12	Klemzig SA Competitor	65
2020-03-13	Klemzig SA Competitor	71
2020-03-14	Klemzig SA Competitor	78
2020-03-15	Klemzig SA Competitor	52
2020-03-16	Klemzig SA Competitor	53
2020-03-17	Klemzig SA Competitor	57
2020-03-18	Klemzig SA Competitor	56
2020-03-19	Klemzig SA Competitor	48
2020-03-20	Klemzig SA Competitor	44
2020-03-21	Klemzig SA Competitor	32
2020-03-22	Klemzig SA Competitor	21
2020-03-23	Klemzig SA Competitor	44
2020-03-24	Klemzig SA Competitor	26
2020-03-25	Klemzig SA Competitor	30
2020-03-26	Klemzig SA Competitor	44
2020-03-27	Klemzig SA Competitor	37
2020-03-28	Klemzig SA Competitor	36
2020-03-29	Klemzig SA Competitor	22
2020-03-30	Klemzig SA Competitor	20
2020-03-31	Klemzig SA Competitor	30
2020-04-01	Klemzig SA Competitor	39
2020-04-02	Klemzig SA Competitor	46
2020-04-03	Klemzig SA Competitor	23
2020-04-04	Klemzig SA Competitor	18
2020-04-05	Klemzig SA Competitor	21
2020-04-06	Klemzig SA Competitor	22
2020-04-07	Klemzig SA Competitor	29
2020-04-08	Klemzig SA Competitor	39
2020-04-09	Klemzig SA Competitor	35
2020-04-10	Klemzig SA Competitor	23
2020-04-11	Klemzig SA Competitor	37
2020-04-12	Klemzig SA Competitor	27
2020-04-13	Klemzig SA Competitor	29
2020-04-14	Klemzig SA Competitor	45
2020-04-15	Klemzig SA Competitor	32
2020-04-16	Klemzig SA Competitor	35
2020-04-17	Klemzig SA Competitor	27
2020-04-18	Klemzig SA Competitor	33
2020-04-19	Klemzig SA Competitor	31
2020-04-20	Klemzig SA Competitor	36
2020-04-21	Klemzig SA Competitor	34
2020-04-22	Klemzig SA Competitor	42
2020-04-23	Klemzig SA Competitor	39
2020-04-24	Klemzig SA Competitor	50
2020-04-25	Klemzig SA Competitor	30
2020-04-26	Klemzig SA Competitor	45
2020-04-27	Klemzig SA Competitor	50
2020-04-28	Klemzig SA Competitor	44
2020-04-29	Klemzig SA Competitor	39
2020-04-30	Klemzig SA Competitor	23
2020-05-01	Klemzig SA Competitor	27
2020-05-02	Klemzig SA Competitor	27
2020-05-03	Klemzig SA Competitor	29
2020-05-04	Klemzig SA Competitor	24
2020-05-05	Klemzig SA Competitor	41
2020-05-06	Klemzig SA Competitor	38
2020-05-07	Klemzig SA Competitor	41
2020-05-08	Klemzig SA Competitor	34
2020-05-09	Klemzig SA Competitor	39
2020-05-10	Klemzig SA Competitor	34
2020-05-11	Klemzig SA Competitor	32
2020-05-12	Klemzig SA Competitor	39
2020-05-13	Klemzig SA Competitor	34
2020-05-14	Klemzig SA Competitor	38
2020-05-15	Klemzig SA Competitor	44
