Date	Polygon	Observed Devices
2020-07-19	Glandore OTR	15
2020-07-20	Glandore OTR	11
2020-07-21	Glandore OTR	12
2020-07-22	Glandore OTR	16
2020-07-23	Glandore OTR	9
2020-07-24	Glandore OTR	15
2020-07-25	Glandore OTR	15
2020-07-26	Glandore OTR	21
2020-07-27	Glandore OTR	21
2020-07-28	Glandore OTR	24
2020-07-29	Glandore OTR	18
2020-07-30	Glandore OTR	12
2020-07-31	Glandore OTR	30
2020-08-01	Glandore OTR	37
2020-08-02	Glandore OTR	11
2020-08-03	Glandore OTR	5
2020-08-04	Glandore OTR	14
2020-08-05	Glandore OTR	6
2020-08-06	Glandore OTR	19
2020-08-07	Glandore OTR	19
2020-08-08	Glandore OTR	39
2020-08-09	Glandore OTR	23
2020-08-10	Glandore OTR	16
2020-08-11	Glandore OTR	16
2020-08-12	Glandore OTR	25
2020-08-13	Glandore OTR	12
2020-08-14	Glandore OTR	16
2020-08-15	Glandore OTR	31
2020-08-16	Glandore OTR	16
2020-08-17	Glandore OTR	11
2020-08-18	Glandore OTR	16
2020-08-19	Glandore OTR	11
2020-08-20	Glandore OTR	15
2020-08-21	Glandore OTR	19
2020-08-22	Glandore OTR	19
2020-08-23	Glandore OTR	19
2020-08-24	Glandore OTR	18
2020-08-25	Glandore OTR	17
2020-08-26	Glandore OTR	13
2020-08-27	Glandore OTR	21
2020-08-28	Glandore OTR	27
2020-08-29	Glandore OTR	17
2020-08-30	Glandore OTR	16
2020-08-31	Glandore OTR	5
2020-09-01	Glandore OTR	4
