Date	Polygon	Observed Devices
2019-12-07	OTR Green acres	21
2019-12-08	OTR Green acres	14
2019-12-09	OTR Green acres	8
2019-12-10	OTR Green acres	19
2019-12-11	OTR Green acres	15
2019-12-12	OTR Green acres	16
2019-12-13	OTR Green acres	21
2019-12-14	OTR Green acres	18
2019-12-15	OTR Green acres	26
2019-12-16	OTR Green acres	9
2019-12-17	OTR Green acres	14
2019-12-18	OTR Green acres	10
2019-12-19	OTR Green acres	11
2019-12-20	OTR Green acres	14
2019-12-21	OTR Green acres	16
2019-12-22	OTR Green acres	8
2019-12-23	OTR Green acres	7
2019-12-24	OTR Green acres	13
2019-12-25	OTR Green acres	16
2019-12-26	OTR Green acres	10
2019-12-27	OTR Green acres	9
2019-12-28	OTR Green acres	7
2019-12-29	OTR Green acres	7
2019-12-30	OTR Green acres	9
2019-12-31	OTR Green acres	8
2020-01-01	OTR Green acres	13
2020-01-02	OTR Green acres	7
2020-01-03	OTR Green acres	11
2020-01-04	OTR Green acres	14
2020-01-05	OTR Green acres	18
2020-01-06	OTR Green acres	8
2020-01-07	OTR Green acres	8
2020-01-08	OTR Green acres	15
2020-01-09	OTR Green acres	13
2020-01-10	OTR Green acres	15
2020-01-11	OTR Green acres	18
2020-01-12	OTR Green acres	21
2020-01-13	OTR Green acres	14
2020-01-14	OTR Green acres	12
2020-01-15	OTR Green acres	12
2020-01-16	OTR Green acres	16
2020-01-17	OTR Green acres	19
2020-01-18	OTR Green acres	9
2020-01-19	OTR Green acres	9
2020-01-20	OTR Green acres	6
2020-01-21	OTR Green acres	10
2020-01-22	OTR Green acres	13
2020-01-23	OTR Green acres	11
2020-01-24	OTR Green acres	11
2020-01-25	OTR Green acres	7
2020-01-26	OTR Green acres	10
2020-01-27	OTR Green acres	12
2020-01-28	OTR Green acres	11
2020-01-29	OTR Green acres	4
2020-01-30	OTR Green acres	13
2020-01-31	OTR Green acres	12
2020-02-01	OTR Green acres	16
2020-02-02	OTR Green acres	14
2020-02-03	OTR Green acres	12
2020-02-04	OTR Green acres	14
2020-02-05	OTR Green acres	12
2020-02-06	OTR Green acres	12
2020-02-07	OTR Green acres	20
2020-02-08	OTR Green acres	13
2020-02-09	OTR Green acres	17
2020-02-10	OTR Green acres	17
2020-02-11	OTR Green acres	9
2020-02-12	OTR Green acres	14
2020-02-13	OTR Green acres	13
2020-02-14	OTR Green acres	18
2020-02-15	OTR Green acres	26
2020-02-16	OTR Green acres	14
2020-02-17	OTR Green acres	13
2020-02-18	OTR Green acres	18
2020-02-19	OTR Green acres	12
2020-02-20	OTR Green acres	9
2020-02-21	OTR Green acres	12
2020-02-22	OTR Green acres	15
2020-02-23	OTR Green acres	7
2020-02-24	OTR Green acres	5
2020-02-25	OTR Green acres	9
2020-02-26	OTR Green acres	8
2020-02-27	OTR Green acres	10
2020-02-28	OTR Green acres	18
2020-02-29	OTR Green acres	13
2020-03-01	OTR Green acres	6
2020-03-02	OTR Green acres	10
2020-03-03	OTR Green acres	12
2020-03-04	OTR Green acres	12
2020-03-05	OTR Green acres	14
2020-03-06	OTR Green acres	15
2020-03-07	OTR Green acres	17
2020-03-08	OTR Green acres	11
2020-03-09	OTR Green acres	14
2020-03-10	OTR Green acres	11
2020-03-11	OTR Green acres	23
