Polygon ID	Hashed Device ID	Generator Evening Lat	Generator Evening Long	Generator Daytime Lat	Generator Daytime Long
Midura Central	3c07424c02d848501877501aedac94bf9f40610f	-34.166558761194032	142.06209665618337	-34.166584050561795	142.0620776488764
Midura Central	c8128e2d317c04a4fbf6bd099d5dc45ec9c7a8a0				
Midura Central	0b4180055d692bd8df143c662c7ef14d82ceeb95	-34.155325481912143	142.04558640439276	-34.155297575757579	142.0454241875
Midura Central	f579ca2e12a4deb984ca214673005ad24a1ffccf	-34.567179499999995	142.72967	-34.213010285714283	142.14253671428571
Midura Central	b5dc704fcb519ebe217efa6413f032055563232d	-34.186585428571426	142.0389032857143	-34.18654318181818	142.03898445454544
Midura Central	a24cbd37a1e2c9e0a9db70830d4d88b4e4d296eb	-34.275229000000003	142.14305999999999	-34.275229000000003	142.14305999999999
Midura Central	70043bd68eb7ba3828cd24a5cefdeb9696e37065	-34.194492395638626	142.14537165472481	-34.188764433918131	142.16029465614034
Midura Central	bb4b6e8602365b3127c7894ee5da4bde4ccc8b5b	-34.213043583657587	142.14266458754864	-34.187417199999999	142.16240084
Midura Central	4e4f289208ffe8c339db67abaf5eef6716685417				
Midura Central	54ea4a8856dd4a22c465cde80729f9c4e3fbedeb	-34.207729207228581	142.12140783658944	-34.207875170310899	142.12158543935772
Midura Central	f4ba31359cb17fc72aa013c6d94afd062ea4bf15	-34.198762601503759	142.13489277443608	-34.19897991596639	142.13512468907564
Midura Central	c7eb525eeddaf7cd9c616d9734567afb443478ca	-34.175064857142857	142.1801812857143		
Midura Central	e03c34ad2d3813543007eb517f9c01c92c63f7f6	-34.153740053030305	142.16472456060606	-34.153782999999997	142.16475816666667
Midura Central	aeb26c84c0ae448c702a52bf5716f9352dee6a27	-34.207979756410253	142.13660630769232	-34.1832122	142.16579634999999
Midura Central	e5e86e4478801c26c6189f219f5d2381e793bdb2	-34.174960171842649	142.14879665631469	-34.174832775665401	142.14912792395438
Midura Central	640c7b5e2ac1ce7736cda206a5c25b40ed2a0536	-34.182372226415097	142.03715747169812	-34.182375200000003	142.03738074285715
Midura Central	b3912e633228a465162358e8852f17035e927e69				
Midura Central	e211633207d9b276fedbedba18694f781c82808b				
