Date	Polygon	Observed Devices
2020-07-14	Midura Central	80
2020-07-15	Midura Central	83
2020-07-16	Midura Central	90
2020-07-17	Midura Central	88
2020-07-18	Midura Central	107
2020-07-19	Midura Central	84
2020-07-20	Midura Central	60
2020-07-21	Midura Central	63
2020-07-22	Midura Central	66
2020-07-23	Midura Central	75
2020-07-24	Midura Central	79
2020-07-25	Midura Central	92
2020-07-26	Midura Central	87
2020-07-27	Midura Central	78
2020-07-28	Midura Central	79
2020-07-29	Midura Central	64
2020-07-30	Midura Central	76
2020-07-31	Midura Central	105
2020-08-01	Midura Central	85
2020-08-02	Midura Central	85
2020-08-03	Midura Central	66
2020-08-04	Midura Central	70
2020-08-05	Midura Central	76
2020-08-06	Midura Central	56
2020-08-07	Midura Central	82
2020-08-08	Midura Central	67
2020-08-09	Midura Central	58
2020-08-10	Midura Central	53
2020-08-11	Midura Central	61
2020-08-12	Midura Central	46
2020-08-13	Midura Central	60
2020-08-14	Midura Central	81
2020-08-15	Midura Central	70
2020-08-16	Midura Central	52
2020-08-17	Midura Central	51
2020-08-18	Midura Central	65
2020-08-19	Midura Central	61
2020-08-20	Midura Central	54
2020-08-21	Midura Central	75
2020-08-22	Midura Central	86
2020-08-23	Midura Central	60
2020-08-24	Midura Central	55
2020-08-25	Midura Central	41
2020-08-26	Midura Central	55
2020-08-27	Midura Central	61
2020-08-28	Midura Central	71
2020-08-29	Midura Central	73
2020-08-30	Midura Central	64
2020-08-31	Midura Central	50
2020-09-01	Midura Central	59
2020-09-02	Midura Central	54
2020-09-03	Midura Central	59
2020-09-04	Midura Central	79
2020-09-05	Midura Central	81
2020-09-06	Midura Central	62
2020-09-07	Midura Central	45
2020-09-08	Midura Central	53
2020-09-09	Midura Central	59
2020-09-10	Midura Central	67
2020-09-11	Midura Central	72
2020-09-12	Midura Central	82
2020-09-13	Midura Central	77
2020-09-14	Midura Central	57
2020-09-15	Midura Central	59
2020-09-16	Midura Central	66
2020-09-17	Midura Central	59
2020-09-18	Midura Central	79
2020-09-19	Midura Central	82
2020-09-20	Midura Central	68
2020-09-21	Midura Central	63
2020-09-22	Midura Central	60
2020-09-23	Midura Central	90
2020-09-24	Midura Central	77
2020-09-25	Midura Central	89
2020-09-26	Midura Central	84
2020-09-27	Midura Central	80
2020-09-28	Midura Central	71
2020-09-29	Midura Central	64
2020-09-30	Midura Central	99
2020-10-01	Midura Central	69
2020-10-02	Midura Central	89
2020-10-03	Midura Central	82
2020-10-04	Midura Central	83
2020-10-05	Midura Central	48
2020-10-06	Midura Central	48
2020-10-07	Midura Central	77
2020-10-08	Midura Central	79
2020-10-09	Midura Central	96
2020-10-10	Midura Central	88
2020-10-11	Midura Central	71
2020-10-12	Midura Central	14
