Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Stirling Hotel SA	d51cca7611825a6f02961b72dda5ae4cdfcf53e5	-35.08347302963159	138.59713920980727	AUS	40304108020		Onkaparinga C	Happy Valley	South Australia		5159			8.656673721953293	-35.08346802963159	138.59709920981388	AUS	40304108020		Onkaparinga C	Happy Valley	South Australia		5159			8.658251102947462
Stirling Hotel SA	b0d4adadba2d800f986694ffd40e8f48f1445184	-35.17741852054849	138.83941765535764	AUS	40102100814		Mount Barker DC	Mount Barker Region	South Australia		5153			13.665044095779539	-35.17741052054849	138.8394006553419	AUS	40102100814		Mount Barker DC	Mount Barker Region	South Australia		5153			13.66408179708529
Stirling Hotel SA	089b7336e2f39a242c84995908393b5bdca09145	-34.93437766459723	138.67334516794756	AUS	40103101105		Burnside C	Burnside - Wattle Park	South Australia		5066			5.6045110378100995	-34.93437266459723	138.6733461679479	AUS	40103101105		Burnside C	Burnside - Wattle Park	South Australia		5066			5.60479433653311
Stirling Hotel SA	e7304b54e8d24f0e8f4588b7cdf349870b8f41f8	-35.05783708911927	138.60858097275377	AUS	40304107701		Onkaparinga C	Flagstaff Hill	South Australia		5159			7.129144176341304	-34.96847108911927	138.639332711777	AUS	40303106932		Mitcham C	Mitcham (SA)	South Australia		5064			5.178055036958618
Stirling Hotel SA	5e1e441c78e74c914076b86bd2397b0db824fe72	-34.88372244275767	138.61104402941933	AUS	40106102005		Prospect C	Nailsworth - Broadview	South Australia		5083			10.443853213819311	-34.883718442757676	138.61104302941925	AUS	40106102005		Prospect C	Nailsworth - Broadview	South Australia		5083			10.4441115762097
Stirling Hotel SA	d5e11771e23234f623ee2b772a98cf95fd5961f5	-34.947152560757324	138.66023569166657	AUS	40103101214		Burnside C	Glenside - Beaumont	South Australia		5066			5.258311041039893	-34.94717956075732	138.6603796916658	AUS	40103101214		Burnside C	Glenside - Beaumont	South Australia		5066			5.251779098255725
Stirling Hotel SA	775893f328d2fe79445a7cee8c75da32f878866c	-35.129652101328375	139.26403943667975	AUS	40703116525		Murray Bridge RC	Murray Bridge	South Australia		5253			32.06830450953282	-35.006943101328375	138.7190079958535	AUS	40102100402		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			0.06585735269965548
Stirling Hotel SA	8b6cc2310a9f9f59d006a47b3252ba1742d1ed9c	-35.06930377633123	138.84487590160904	AUS	40102100722		Mount Barker DC	Mount Barker	South Australia		5251			8.394810152230807	-34.85540877633123	138.52629410415176	AUS	40402110111		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			15.085760625253641
Stirling Hotel SA	f6d827eceee126ae333d98eedb508dfd5badaed6	-34.914492686680916	138.8732963086054	AUS	40102100616		Adelaide Hills DC	Lobethal - Woodside	South Australia		5241			10.877482778137004	-34.91449168668092	138.87329430860768	AUS	40102100616		Adelaide Hills DC	Lobethal - Woodside	South Australia		5241			10.877431557168798
Stirling Hotel SA	8f83b89382b230ac6c9cb38eb10d40f38e51e67c	-35.51348867226162	138.77019515067963	AUS	40701114420		Alexandrina DC	Goolwa - Port Elliot	South Australia		5214			35.17796226390033	-35.51346167226162	138.77020015081274	AUS	40701114420		Alexandrina DC	Goolwa - Port Elliot	South Australia		5214			35.17612502047319
