Date	Polygon	Observed Devices
2020-06-09	Stirling Hotel SA	3
2020-06-10	Stirling Hotel SA	3
2020-06-11	Stirling Hotel SA	4
2020-06-12	Stirling Hotel SA	6
2020-06-13	Stirling Hotel SA	7
2020-06-14	Stirling Hotel SA	2
2020-06-15	Stirling Hotel SA	5
2020-06-16	Stirling Hotel SA	6
2020-06-17	Stirling Hotel SA	4
2020-06-18	Stirling Hotel SA	1
2020-06-19	Stirling Hotel SA	9
2020-06-20	Stirling Hotel SA	9
2020-06-21	Stirling Hotel SA	11
2020-06-22	Stirling Hotel SA	2
2020-06-23	Stirling Hotel SA	8
2020-06-24	Stirling Hotel SA	4
2020-06-25	Stirling Hotel SA	5
2020-06-26	Stirling Hotel SA	12
2020-06-27	Stirling Hotel SA	12
2020-06-28	Stirling Hotel SA	18
2020-06-29	Stirling Hotel SA	5
2020-06-30	Stirling Hotel SA	7
2020-07-01	Stirling Hotel SA	2
2020-07-02	Stirling Hotel SA	3
2020-07-03	Stirling Hotel SA	9
2020-07-04	Stirling Hotel SA	19
2020-07-05	Stirling Hotel SA	20
2020-07-06	Stirling Hotel SA	7
2020-07-07	Stirling Hotel SA	6
2020-07-08	Stirling Hotel SA	3
2020-07-09	Stirling Hotel SA	9
2020-07-10	Stirling Hotel SA	14
2020-07-11	Stirling Hotel SA	9
2020-07-12	Stirling Hotel SA	7
2020-07-13	Stirling Hotel SA	8
2020-07-14	Stirling Hotel SA	9
2020-07-15	Stirling Hotel SA	8
2020-07-16	Stirling Hotel SA	5
2020-07-17	Stirling Hotel SA	12
2020-07-18	Stirling Hotel SA	13
2020-07-19	Stirling Hotel SA	9
2020-07-20	Stirling Hotel SA	4
2020-07-21	Stirling Hotel SA	2
2020-07-22	Stirling Hotel SA	11
2020-07-23	Stirling Hotel SA	10
2020-07-24	Stirling Hotel SA	20
2020-07-25	Stirling Hotel SA	14
2020-07-26	Stirling Hotel SA	15
2020-07-27	Stirling Hotel SA	6
2020-07-28	Stirling Hotel SA	5
2020-07-29	Stirling Hotel SA	6
2020-07-30	Stirling Hotel SA	4
2020-07-31	Stirling Hotel SA	9
2020-08-01	Stirling Hotel SA	10
2020-08-02	Stirling Hotel SA	10
2020-08-03	Stirling Hotel SA	10
2020-08-04	Stirling Hotel SA	5
2020-08-05	Stirling Hotel SA	4
2020-08-06	Stirling Hotel SA	7
2020-08-07	Stirling Hotel SA	14
2020-08-08	Stirling Hotel SA	10
2020-08-09	Stirling Hotel SA	19
2020-08-10	Stirling Hotel SA	4
2020-08-11	Stirling Hotel SA	3
2020-08-12	Stirling Hotel SA	9
2020-08-13	Stirling Hotel SA	9
2020-08-14	Stirling Hotel SA	12
2020-08-15	Stirling Hotel SA	21
2020-08-16	Stirling Hotel SA	13
2020-08-17	Stirling Hotel SA	4
2020-08-18	Stirling Hotel SA	2
2020-08-19	Stirling Hotel SA	1
2020-08-20	Stirling Hotel SA	3
2020-08-21	Stirling Hotel SA	5
2020-08-22	Stirling Hotel SA	18
2020-08-23	Stirling Hotel SA	12
2020-08-24	Stirling Hotel SA	6
2020-08-25	Stirling Hotel SA	7
2020-08-26	Stirling Hotel SA	5
2020-08-27	Stirling Hotel SA	3
2020-08-28	Stirling Hotel SA	10
2020-08-29	Stirling Hotel SA	20
2020-08-30	Stirling Hotel SA	8
2020-08-31	Stirling Hotel SA	6
2020-09-01	Stirling Hotel SA	7
2020-09-02	Stirling Hotel SA	8
2020-09-03	Stirling Hotel SA	6
2020-09-04	Stirling Hotel SA	16
2020-09-05	Stirling Hotel SA	19
2020-09-06	Stirling Hotel SA	17
2020-09-07	Stirling Hotel SA	2
2020-09-08	Stirling Hotel SA	11
2020-09-09	Stirling Hotel SA	9
2020-09-10	Stirling Hotel SA	10
2020-09-11	Stirling Hotel SA	8
2020-09-12	Stirling Hotel SA	9
2020-09-13	Stirling Hotel SA	11
2020-09-14	Stirling Hotel SA	3
2020-09-15	Stirling Hotel SA	8
