category_id	category_name	subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
10548	Kumon	Education	Childrens Activities	0	17731	0.0000%	0.1009%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.627	0.000	0.000	-100.00%	0.00%	0.0	19.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0081	0.0000	0.0000	-100.00%	0.00%
10549	Kwik Fill	Convenience	Auto and Gasoline Service Stations	0	31375	0.0000%	0.1785%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.783	0.000	0.000	-100.00%	0.00%	0.0	15.2	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0158	0.0000	0.0000	-100.00%	0.00%
10550	Kwik Kar	Auto Services	Auto and Gasoline Service Stations	0	5591	0.0000%	0.0318%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.348	0.000	0.000	-100.00%	0.00%	0.0	16.4	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0021	0.0000	0.0000	-100.00%	0.00%
10551	Kwik Shop	Convenience	Auto and Gasoline Service Stations	0	31756	0.0000%	0.1806%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.902	0.000	0.000	-100.00%	0.00%	0.0	14.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0170	0.0000	0.0000	-100.00%	0.00%
10552	Kwik Stop	Convenience	Auto and Gasoline Service Stations	0	3324	0.0000%	0.0189%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.834	0.000	0.000	-100.00%	0.00%	0.0	14.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0017	0.0000	0.0000	-100.00%	0.00%
10553	Kwik Trip	Convenience	Auto and Gasoline Service Stations	0	254148	0.0000%	1.4457%	0.0000%	0.0000%	-100.00%	0.00%	0.000	2.648	0.000	0.000	-100.00%	0.00%	0.0	15.6	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.1896	0.0000	0.0000	-100.00%	0.00%
10554	L.A. Tan	"Spa, Massage, Esthetics"	Salon/Spa	0	2383	0.0000%	0.0136%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.564	0.000	0.000	-100.00%	0.00%	0.0	15.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0010	0.0000	0.0000	-100.00%	0.00%
10555	L.L.Bean	Clothing	Apparel	0	8987	0.0000%	0.0511%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.576	0.000	0.000	-100.00%	0.00%	0.0	15.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0040	0.0000	0.0000	-100.00%	0.00%
10556	La Bou Bakery and Cafe	Bakery/Dessert	Eating Places	0	1005	0.0000%	0.0057%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.520	0.000	0.000	-100.00%	0.00%	0.0	14.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0004	0.0000	0.0000	-100.00%	0.00%
10558	La Chiquita Food Market	Ethnic Grocer	Grocery Stores	0	1506	0.0000%	0.0086%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.659	0.000	0.000	-100.00%	0.00%	0.0	16.0	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0007	0.0000	0.0000	-100.00%	0.00%
10559	LA Fitness	Gym and Fitness Facilities	Fitness and Recreation Centers	0	231014	0.0000%	1.3141%	0.0000%	0.0000%	-100.00%	0.00%	0.000	3.650	0.000	0.000	-100.00%	0.00%	0.0	21.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.2376	0.0000	0.0000	-100.00%	0.00%
10561	LA Mattress	Furniture	Retail	0	303	0.0000%	0.0017%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.251	0.000	0.000	-100.00%	0.00%	0.0	14.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0001	0.0000	0.0000	-100.00%	0.00%
10562	La Michoacana Meat Market	Ethnic Grocer	Grocery Stores	0	23000	0.0000%	0.1308%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.614	0.000	0.000	-100.00%	0.00%	0.0	17.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0105	0.0000	0.0000	-100.00%	0.00%
10563	La Petite Academy	Education	Childrens Activities	0	19604	0.0000%	0.1115%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.785	0.000	0.000	-100.00%	0.00%	0.0	16.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0099	0.0000	0.0000	-100.00%	0.00%
10564	La Quinta Inn	Midscale	Hotels	1	553793	33.3333%	3.1503%	50.0000%	0.0000%	+958.10%	1587.15%	1.000	1.870	0.500	0.000	-46.53%	26.74%	10.0	33.6	5.0	0.0	-70.24%	14.88%	+137.86%	205.99%	0.5435	0.2918	0.3311	0.0000	+86.26%	113.48%
10565	La Senza	Clothing- Womens	Apparel	0	1371	0.0000%	0.0078%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.300	0.000	0.000	-100.00%	0.00%	0.0	14.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0005	0.0000	0.0000	-100.00%	0.00%
10566	La Z Boy	Furniture	Retail	0	32615	0.0000%	0.1855%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.408	0.000	0.000	-100.00%	0.00%	0.0	15.4	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0129	0.0000	0.0000	-100.00%	0.00%
10567	Label Shopper	Discount Stores	Retail	0	1631	0.0000%	0.0093%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.365	0.000	0.000	-100.00%	0.00%	0.0	15.2	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0006	0.0000	0.0000	-100.00%	0.00%
10568	Lacoste	Clothing	Apparel	0	5120	0.0000%	0.0291%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.366	0.000	0.000	-100.00%	0.00%	0.0	14.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0020	0.0000	0.0000	-100.00%	0.00%
10569	Lady Foot Locker	Footwear	Apparel	0	4863	0.0000%	0.0277%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.284	0.000	0.000	-100.00%	0.00%	0.0	14.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0018	0.0000	0.0000	-100.00%	0.00%
10570	Lakeshore Learning Materials	Books	Retail	0	2259	0.0000%	0.0129%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.433	0.000	0.000	-100.00%	0.00%	0.0	15.4	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0009	0.0000	0.0000	-100.00%	0.00%
10571	Lamborghini	Luxury	Automotive Dealers	0	3352	0.0000%	0.0191%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.527	0.000	0.000	-100.00%	0.00%	0.0	15.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0014	0.0000	0.0000	-100.00%	0.00%
10572	Lamps Plus	Home and Housewares	Retail	0	1674	0.0000%	0.0095%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.459	0.000	0.000	-100.00%	0.00%	0.0	15.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0007	0.0000	0.0000	-100.00%	0.00%
10573	Land Rover	Luxury	Automotive Dealers	0	34169	0.0000%	0.1944%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.652	0.000	0.000	-100.00%	0.00%	0.0	16.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0159	0.0000	0.0000	-100.00%	0.00%
10574	Landis Supermarket	Grocery	Grocery Stores	0	802	0.0000%	0.0046%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.944	0.000	0.000	-100.00%	0.00%	0.0	17.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0004	0.0000	0.0000	-100.00%	0.00%
10575	Landmark Theaters	Motion Picture Theaters	Entertainment	0	8006	0.0000%	0.0455%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.588	0.000	0.000	-100.00%	0.00%	0.0	16.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0036	0.0000	0.0000	-100.00%	0.00%
10576	Lane Bryant	Clothing- Womens	Apparel	0	29847	0.0000%	0.1698%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.318	0.000	0.000	-100.00%	0.00%	0.0	14.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0111	0.0000	0.0000	-100.00%	0.00%
10577	Lark Burger	Fast Casual	Eating Places	0	254	0.0000%	0.0014%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.185	0.000	0.000	-100.00%	0.00%	0.0	14.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0001	0.0000	0.0000	-100.00%	0.00%
10578	LaRosas	Casual Dining	Eating Places	0	9063	0.0000%	0.0516%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.505	0.000	0.000	-100.00%	0.00%	0.0	16.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0038	0.0000	0.0000	-100.00%	0.00%
10579	Larrys Giant Subs	QSR	Eating Places	0	2625	0.0000%	0.0149%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.372	0.000	0.000	-100.00%	0.00%	0.0	16.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0010	0.0000	0.0000	-100.00%	0.00%
10580	Laser Quest	Amusement	Entertainment	0	1405	0.0000%	0.0080%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.620	0.000	0.000	-100.00%	0.00%	0.0	18.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0006	0.0000	0.0000	-100.00%	0.00%
10581	Lassens Natural Foods and Vitamins	Grocery	Grocery Stores	0	983	0.0000%	0.0056%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.489	0.000	0.000	-100.00%	0.00%	0.0	15.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0004	0.0000	0.0000	-100.00%	0.00%
10582	Last Chance	Furnishings Rental	Retail	0	480	0.0000%	0.0027%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.502	0.000	0.000	-100.00%	0.00%	0.0	18.2	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0002	0.0000	0.0000	-100.00%	0.00%
10584	LaVida Massage	"Spa, Massage, Esthetics"	Salon/Spa	0	986	0.0000%	0.0056%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.601	0.000	0.000	-100.00%	0.00%	0.0	16.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0004	0.0000	0.0000	-100.00%	0.00%
10585	Lazy Dog	Casual Dining	Eating Places	0	12111	0.0000%	0.0689%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.317	0.000	0.000	-100.00%	0.00%	0.0	18.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0045	0.0000	0.0000	-100.00%	0.00%
10586	LCBO	Liquor	Retail	0	1089	0.0000%	0.0062%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.821	0.000	0.000	-100.00%	0.00%	0.0	29.0	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0006	0.0000	0.0000	-100.00%	0.00%
10587	Le Boulanger	Fast Casual	Eating Places	0	1303	0.0000%	0.0074%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.384	0.000	0.000	-100.00%	0.00%	0.0	15.6	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0005	0.0000	0.0000	-100.00%	0.00%
10588	Le Meridien	Upscale	Hotels	0	13571	0.0000%	0.0772%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.603	0.000	0.000	-100.00%	0.00%	0.0	27.0	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0061	0.0000	0.0000	-100.00%	0.00%
10589	Le Pain Quotidien	Fast Casual	Eating Places	0	17283	0.0000%	0.0983%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.639	0.000	0.000	-100.00%	0.00%	0.0	15.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0080	0.0000	0.0000	-100.00%	0.00%
10590	Le Peep	Casual Dining	Eating Places	0	3417	0.0000%	0.0194%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.342	0.000	0.000	-100.00%	0.00%	0.0	14.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0013	0.0000	0.0000	-100.00%	0.00%
10592	Learning Express Toys	Childrens	Retail	0	2866	0.0000%	0.0163%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.447	0.000	0.000	-100.00%	0.00%	0.0	14.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0012	0.0000	0.0000	-100.00%	0.00%
10593	Lebakkens	Grocery	Grocery Stores	0	266	0.0000%	0.0015%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.466	0.000	0.000	-100.00%	0.00%	0.0	14.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0001	0.0000	0.0000	-100.00%	0.00%
10594	Lebanese Taverna	Casual Dining	Eating Places	0	747	0.0000%	0.0042%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.406	0.000	0.000	-100.00%	0.00%	0.0	14.6	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0003	0.0000	0.0000	-100.00%	0.00%
10595	LEDO Pizza	Casual Dining	Eating Places	0	5318	0.0000%	0.0303%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.408	0.000	0.000	-100.00%	0.00%	0.0	18.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0021	0.0000	0.0000	-100.00%	0.00%
10596	Lee Valley Tools	Hardware/Home Improvement	Retail	0	56	0.0000%	0.0003%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.250	0.000	0.000	-100.00%	0.00%	0.0	14.1	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0000	0.0000	0.0000	-100.00%	0.00%
10597	Leeann Chinn	QSR	Eating Places	0	5934	0.0000%	0.0338%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.318	0.000	0.000	-100.00%	0.00%	0.0	15.8	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0022	0.0000	0.0000	-100.00%	0.00%
10598	LEEs Famous Recipes	QSR	Eating Places	0	20856	0.0000%	0.1186%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.414	0.000	0.000	-100.00%	0.00%	0.0	15.4	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0083	0.0000	0.0000	-100.00%	0.00%
