subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
Other Vehicles	Automotive Dealers	0	262352	0.0000%	1.4924%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.572	0.000	0.000	-100.00%	+0.00%	0.0	16.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1162	0.0000	0.0000	-100.00%	+0.00%
Pets	Retail	0	350656	0.0000%	1.9947%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.482	0.000	0.000	-100.00%	+0.00%	0.0	16.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1464	0.0000	0.0000	-100.00%	+0.00%
Pets	Services	0	275133	0.0000%	1.5651%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.834	0.000	0.000	-100.00%	+0.00%	0.0	17.7	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1421	0.0000	0.0000	-100.00%	+0.00%
QSR	Eating Places	1	10808225	33.3333%	61.4834%	50.0000%	0.0000%	-45.78%	+81.32%	15.000	3.853	7.500	0.000	+289.34%	+194.67%	17.1	16.0	8.5	0.0	+6.45%	+53.23%	+45.29%	+125.82%	8.1522	11.7310	4.9669	0.0000	-30.51%	+42.34%
Recreation Center	Fitness and Recreation Centers	0	452464	0.0000%	2.5739%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.655	0.000	0.000	-100.00%	+0.00%	0.0	18.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.3385	0.0000	0.0000	-100.00%	+0.00%
Sporting Goods	Retail	0	791811	0.0000%	4.5043%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.465	0.000	0.000	-100.00%	+0.00%	0.0	16.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.3268	0.0000	0.0000	-100.00%	+0.00%
Standard	Automotive Dealers	0	2600225	0.0000%	14.7916%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.798	0.000	0.000	-100.00%	+0.00%	0.0	17.2	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	2.0499	0.0000	0.0000	-100.00%	+0.00%
Storage	Services	0	547430	0.0000%	3.1141%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.774	0.000	0.000	-100.00%	+0.00%	0.0	17.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.2736	0.0000	0.0000	-100.00%	+0.00%
Upscale	Hotels	1	1960932	33.3333%	11.1549%	50.0000%	0.0000%	+198.82%	+448.23%	1.000	2.886	0.500	0.000	-65.34%	+17.33%	27.0	31.3	13.5	0.0	-13.65%	+43.17%	+1.76%	+88.13%	0.5435	1.5941	2.7778	0.0000	-65.91%	+174.26%
Used	Automotive Dealers	0	247665	0.0000%	1.4089%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.836	0.000	0.000	-100.00%	+0.00%	0.0	17.2	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1281	0.0000	0.0000	-100.00%	+0.00%
Warehouse Club	Grocery Stores	0	218	0.0000%	0.0012%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.381	0.000	0.000	-100.00%	+0.00%	0.0	37.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0001	0.0000	0.0000	-100.00%	+0.00%
Warehouse Club	Retail	0	2048227	0.0000%	11.6515%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.906	0.000	0.000	-100.00%	+0.00%	0.0	17.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	1.1000	0.0000	0.0000	-100.00%	+0.00%
Weight Loss	Fitness and Recreation Centers	0	8417	0.0000%	0.0479%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.522	0.000	0.000	-100.00%	+0.00%	0.0	16.8	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0036	0.0000	0.0000	-100.00%	+0.00%
Wholesale Cash and Carry	Grocery Stores	0	108276	0.0000%	0.6159%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.022	0.000	0.000	-100.00%	+0.00%	0.0	18.4	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0617	0.0000	0.0000	-100.00%	+0.00%
Wireless	Retail	2	1458694	66.6667%	8.2979%	50.0000%	0.0000%	+703.42%	+602.56%	1.000	1.694	0.500	0.000	-40.97%	+29.52%	10.0	16.7	5.0	0.0	-40.05%	+30.07%	+117.78%	+133.36%	1.0870	0.6962	2.7778	0.0000	+56.14%	+399.01%
dental	Services	0	29511	0.0000%	0.1679%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.465	0.000	0.000	-100.00%	+0.00%	0.0	17.6	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0122	0.0000	0.0000	-100.00%	+0.00%
