Device Id	Polygon Name	Timestamp	Common Evening Lat	Common Evening Long	Date	Time	Day of Week	Time Zone
78400ff189824611cff0de665dd4f7aea0733c84	OTR Glandore	1592117996	-34.95025613760327	138.58125131557378	2020-06-14	16:29:56	Sun	Australia/Adelaide
7832de420a9931ce0a888de9a276fa05a281f16e	OTR Glandore	1590818983	-34.95440974327067	138.54590296523267	2020-05-30	15:39:43	Sat	Australia/Adelaide
7522bacf9401c992c7d0aa51846206677bed713b	OTR Glandore	1567112076	-34.965266944293205	138.57023377219815	2019-08-30	06:24:36	Fri	Australia/Adelaide
408778295aa024002bf025504d9c8a68e083c645	OTR Glandore	1593834279	-34.878646447806034	138.50493052267038	2020-07-04	13:14:39	Sat	Australia/Adelaide
6fbfe1a6aad2040e3e8924b5d2c78050fd7521e7	OTR Glandore	1569119871	-34.871786829761575	138.622631374381	2019-09-22	12:07:51	Sun	Australia/Adelaide
238fb5ad327a76f6cce4e7f61db9ddb501712a3b	OTR Glandore	1593507989	-34.98247586389629	138.55994270526628	2020-06-30	18:36:29	Tue	Australia/Adelaide
b027787bce12611d918a0bbc8d7618f224a092f8	OTR Glandore	1594008555	-34.95660057010729	138.55675688916892	2020-07-06	13:39:15	Mon	Australia/Adelaide
f5eda111c8898c75249c24999f62ea3c2d65e17c	OTR Glandore	1596170954	-34.92537520831471	138.5745130184733	2020-07-31	14:19:14	Fri	Australia/Adelaide
250a874e545f967193acf4e09aae8686fc00f8a2	OTR Glandore	1597552014	-34.969573361860895	138.56389466923568	2020-08-16	13:56:54	Sun	Australia/Adelaide
3b4f3559a6d7b28306226c96d767953b458d203c	OTR Glandore	1597625285	-34.99836313732222	138.5710375341515	2020-08-17	10:18:05	Mon	Australia/Adelaide
d375d8a876f1cc3eb75f01dde20d73710a57b856	OTR Glandore	1591943950	-34.96532055562286	138.5567273304502	2020-06-12	16:09:10	Fri	Australia/Adelaide
2bb1694f895c83393a90110c756ca42f112bdb4a	OTR Glandore	1594383344	-34.95589329941462	138.63606972524974	2020-07-10	21:45:44	Fri	Australia/Adelaide
6fce2f5594396851d90c16a041070a23b0d55e89	OTR Glandore	1592367171	-34.77093224030529	138.73115039488366	2020-06-17	13:42:51	Wed	Australia/Adelaide
a1cc1bd8785ed83351c5960be8307d8e7de4ff19	OTR Glandore	1592907919	-35.04106974986162	138.5844442643437	2020-06-23	19:55:19	Tue	Australia/Adelaide
a670231cb9a3f14383aeeb0faaf06ac0c01a2eec	OTR Glandore	1597899834	-34.85606349421442	138.62341806492665	2020-08-20	14:33:54	Thu	Australia/Adelaide
a3b1f4b06466ad43d954744b45f4197bc76c501b	OTR Glandore	1593662738	-35.10229445248757	138.56148689549164	2020-07-02	13:35:38	Thu	Australia/Adelaide
b367df5fec91d78011c0c99a1e1d01591beb2000	OTR Glandore	1594186164	-34.92815199961088	138.5912423009759	2020-07-08	14:59:24	Wed	Australia/Adelaide
a1cc8cd5bb59d03f714b42cded2c452aff8811cf	OTR Glandore	1595754529	-34.95896020117966	138.56019839325612	2020-07-26	18:38:49	Sun	Australia/Adelaide
86e19e9666b917931c4c47fe890eb46f0e5f6f62	OTR Glandore	1569920029	-34.970384980425564	138.54493464571124	2019-10-01	18:23:49	Tue	Australia/Adelaide
a698a624a233eae70e7767cd7b75f95cd6c8aff1	OTR Glandore	1592383121	-34.982828230432666	138.54734982247777	2020-06-17	18:08:41	Wed	Australia/Adelaide
a79fbf300e61a99daa0db9101dafe89fa1b6f35d	OTR Glandore	1593512395	-35.04516104727135	138.533395240471	2020-06-30	19:49:55	Tue	Australia/Adelaide
1c1c64c85f78e966cf452e82a9eb1d7348d9dc28	OTR Glandore	1596702267	-34.99041407028367	138.55187499875052	2020-08-06	17:54:27	Thu	Australia/Adelaide
258f0cdcbe556cb2dfc0a3b3d3b56aa6e5248a4a	OTR Glandore	1591696760	-34.98484059476556	138.52417992893132	2020-06-09	19:29:20	Tue	Australia/Adelaide
d2331b5e159c1637910f0aa299925b5aedf19e75	OTR Glandore	1594179985	-35.134742942607865	138.5362663551301	2020-07-08	13:16:25	Wed	Australia/Adelaide
b85459ce1bd410288a70529a288d8ea04fb6df52	OTR Glandore	1591412062	-35.05369022223251	138.6077106962412	2020-06-06	12:24:22	Sat	Australia/Adelaide
98f217c79f3b5834c231e22d28674070f054c8ac	OTR Glandore	1567676284	-34.959434690755096	138.56644325777566	2019-09-05	19:08:04	Thu	Australia/Adelaide
7357bad55e817f0332070d82f3e147db1b2ef32d	OTR Glandore	1592621949	-34.94892093751711	138.57056815680707	2020-06-20	12:29:09	Sat	Australia/Adelaide
