Date	Polygon	Observed Devices
2020-09-13	Drakes Royal Park	3
2020-09-14	Drakes Royal Park	7
2020-09-15	Drakes Royal Park	5
2020-09-16	Drakes Royal Park	3
2020-09-17	Drakes Royal Park	6
2020-09-18	Drakes Royal Park	4
2020-09-19	Drakes Royal Park	4
2020-09-20	Drakes Royal Park	5
2020-09-21	Drakes Royal Park	6
2020-09-22	Drakes Royal Park	3
2020-09-23	Drakes Royal Park	2
2020-09-24	Drakes Royal Park	5
2020-09-25	Drakes Royal Park	5
2020-09-26	Drakes Royal Park	6
2020-09-27	Drakes Royal Park	6
2020-09-28	Drakes Royal Park	6
2020-09-29	Drakes Royal Park	5
2020-09-30	Drakes Royal Park	4
2020-10-01	Drakes Royal Park	4
2020-10-02	Drakes Royal Park	10
2020-10-03	Drakes Royal Park	1
2020-10-04	Drakes Royal Park	5
2020-10-06	Drakes Royal Park	12
2020-10-07	Drakes Royal Park	3
2020-10-08	Drakes Royal Park	9
2020-10-09	Drakes Royal Park	5
2020-10-10	Drakes Royal Park	7
2020-10-11	Drakes Royal Park	6
2020-10-12	Drakes Royal Park	7
2020-10-13	Drakes Royal Park	8
2020-10-14	Drakes Royal Park	4
2020-10-15	Drakes Royal Park	6
2020-10-16	Drakes Royal Park	7
2020-10-17	Drakes Royal Park	8
2020-10-18	Drakes Royal Park	5
2020-10-19	Drakes Royal Park	8
2020-10-20	Drakes Royal Park	5
2020-10-21	Drakes Royal Park	3
2020-10-22	Drakes Royal Park	8
2020-10-23	Drakes Royal Park	2
2020-10-24	Drakes Royal Park	6
2020-10-25	Drakes Royal Park	8
2020-10-26	Drakes Royal Park	8
2020-10-27	Drakes Royal Park	3
