Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
156 Port Road Albertson SA	9c8536ea5c4aa52eb4c75e576f731ff2351be17d	-34.90930430759312	138.53510387264313	AUS	40401109109		Charles Sturt C	Flinders Park	South Australia		5025			2.233091050828003	-34.91511730759312	138.50202084848758	AUS	40401109217		Charles Sturt C	Henley Beach	South Australia		5022			2.3484022256273818
156 Port Road Albertson SA	ef89d03e088638f6ab554fdf99767c13bc0dfd82	-34.93445854643199	138.65176002288695	AUS	40103101301		Burnside C	Toorak Gardens	South Australia		5065			8.64060804802751	-34.93450354643199	138.65180602274324	AUS	40103101301		Burnside C	Toorak Gardens	South Australia		5065			8.64427472638087
156 Port Road Albertson SA	d8dc5eb622af8b4155405463ce822742c538b30d	-34.98559731918379	138.5153077495639	AUS	40301105745		Holdfast Bay C	Glenelg (SA)	South Australia		5045			7.136146657707991	-34.98560831918379	138.51532274956793	AUS	40301105745		Holdfast Bay C	Glenelg (SA)	South Australia		5045			7.136921270917169
156 Port Road Albertson SA	ef46e3ce42d6a017ec6011a36cc7b16fb2058ed5	-34.848978590904764	138.4954290554994	AUS	40402109925		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5015			2.5265342280911334	-34.84898059090476	138.49543405549855	AUS	40402109925		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5015			2.5262937692820793
156 Port Road Albertson SA	87f7150d4e6dc3f58fa106aa74f21e4cfcac9b39	-34.88315049607091	138.50710810661658	AUS	40401109509		Charles Sturt C	Seaton - Grange	South Australia		5023			0.35293903868761894	-34.883168496070915	138.5071351066928	AUS	40401109509		Charles Sturt C	Seaton - Grange	South Australia		5023			0.3515971567286968
156 Port Road Albertson SA	d8e263586b8929b900164fcbeda311d0d9bb091e	-34.863831443526216	138.6414004644164	AUS	40203103825		Port Adelaide Enfield C	Windsor Gardens	South Australia		5086			7.3844771965565235	-34.863840443526215	138.6413894643916	AUS	40203103825		Port Adelaide Enfield C	Windsor Gardens	South Australia		5086			7.383753607050114
156 Port Road Albertson SA	70dc3cef2feedf5a0ccde155b9d8aeeae7d0464c	-34.844845729374946	138.49455202449286	AUS	40402109901		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5015			2.8092532521697215	-34.722789729374945	138.66603017379498	AUS	40202103025		Playford C	Elizabeth	South Australia		5112			14.04415499931799
156 Port Road Albertson SA	3fde035ae45597413f34ffe35f8add9ed25f3ba5	-34.87679275515608	138.50979090087333	AUS	40401109405		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.4378604784428628	-34.876791755156084	138.5097769008737	AUS	40401109405		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.43828074959443847
156 Port Road Albertson SA	3b578307183e72803cf108d9e583afdae78149be	-34.8384807062998	138.48787649703195	AUS	40402109926		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5019			3.365172193782849	-34.8384777062998	138.48787149703264	AUS	40402109926		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5019			3.3654812645508985
156 Port Road Albertson SA	08647ca9e59eede3abbe5fea73ab5323c29e83e1	-34.81533055114144	138.679077932492	AUS	40205105332		Tea Tree Gully C	Modbury Heights	South Australia		5092			10.494873768443815	-34.81532055114144	138.67909993249503	AUS	40205105332		Tea Tree Gully C	Modbury Heights	South Australia		5092			10.496300275851581
156 Port Road Albertson SA	53a4524176c08209e0b12c1c0e2d8ae36d67e595	-34.92673876645833	138.6476652571746	AUS	40105101719		Norwood Payneham St Peters C	Norwood (SA)	South Australia		5068			8.216616150944176	-34.92672776645833	138.6476402571621	AUS	40105101719		Norwood Payneham St Peters C	Norwood (SA)	South Australia		5068			8.21501700457419
156 Port Road Albertson SA	f98561258a7d12a820e5feb67ea5c67f1e53d2ad	-34.88582099470194	138.50836820807305	AUS	40401109507		Charles Sturt C	Seaton - Grange	South Australia		5023			0.3631449463747681	-34.88581099470194	138.50836720808047	AUS	40401109507		Charles Sturt C	Seaton - Grange	South Australia		5023			0.36274387257848534
156 Port Road Albertson SA	d82433974efe55ff1fe0f699a4ac0fd4ed38b8a7	-34.79243694849009	138.4872330017814	AUS	40402110024		Port Adelaide Enfield C	North Haven	South Australia		5018			6.3988918916505435	-34.79244594849009	138.48723900174528	AUS	40402110024		Port Adelaide Enfield C	North Haven	South Australia		5018			6.398207489662844
156 Port Road Albertson SA	33d005dfc5e0cd09eff552b7623c7f4d00272014	-34.88047350363917	138.61891392535546	AUS	40106102004		Prospect C	Nailsworth - Broadview	South Australia		5083			5.9962377539002745	-34.880478503639175	138.61891992535513	AUS	40106102004		Prospect C	Nailsworth - Broadview	South Australia		5083			5.9965700933410755
156 Port Road Albertson SA	e58d32dba8bf7e40b3fe2780ff6d9b98584ce269	-35.13376561058224	138.47606242774458	AUS	40304107427		Onkaparinga C	Christies Beach	South Australia		5165			17.511448865359792	-35.13377661058224	138.47605742776543	AUS	40304107427		Onkaparinga C	Christies Beach	South Australia		5165			17.512238293688114
156 Port Road Albertson SA	f46351b50322170f90020eade344fdc374a5fe82	-35.070325618589436	138.5230679472572	AUS	40302105929		Marion C	Hallett Cove	South Australia		5158			13.007790910824548	-35.070258618589435	138.52295194742638	AUS	40302105929		Marion C	Hallett Cove	South Australia		5158			13.002881536354316
156 Port Road Albertson SA	bfec0d39256c0fcc74aa668b9edab59a55cb68ed	-35.18654791628874	138.471971765068	AUS	40304108729		Onkaparinga C	Seaford (SA)	South Australia		5169			21.1647416007815													
156 Port Road Albertson SA	fd37ba4441a1aad950e59dc24658a49769d8d905	-34.6129272022246	138.7347057487054	AUS	40201102636		Gawler T	Gawler - South	South Australia		5116			22.493175874401892	-34.6128892022246	138.73475074879934	AUS	40201102636		Gawler T	Gawler - South	South Australia		5116			22.496787063946964
156 Port Road Albertson SA	cbd08127fb59a21fd24a8223eebfd9f9b0fe31b3	-35.03283886005229	138.5232852314153	AUS	40301105629		Holdfast Bay C	Brighton (SA)	South Australia		5049			10.418428895222663	-35.03284186005229	138.52327623141122	AUS	40301105629		Holdfast Bay C	Brighton (SA)	South Australia		5049			10.418608301221923
156 Port Road Albertson SA	4edb26caf2fe0fbc9415721d1c8fe001ff5c2f3b	-34.857111770763474	138.5065934709303	AUS	40402110115		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.7927061137215035	-34.85710277076347	138.50661847093014	AUS	40402110115		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.7930154526551247
156 Port Road Albertson SA	78d6d982fd74aad5193c7f388f9be55f2446d1e8	-34.868577853924464	138.48485552107962	AUS	40401109622		Charles Sturt C	West Lakes	South Australia		5020			1.8760462627743724	-34.868574853924464	138.4848675210647	AUS	40401109622		Charles Sturt C	West Lakes	South Australia		5020			1.8755672012855371
156 Port Road Albertson SA	d3c77da997c3dc5055a14bdad7da28a63ca3ce2c	-34.93364223608895	138.54863063329307	AUS	40403110610		West Torrens C	Lockleys	South Australia		5032			4.0700806593446215	-34.88787123608895	138.5557874317326	AUS	40401109307		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.4416103440873473
156 Port Road Albertson SA	a18aeadf76e9577432ddd9c871d4de33b38c23c8	-35.00202726941051	138.51408216424164	AUS	40301105748		Holdfast Bay C	Glenelg (SA)	South Australia		5044			8.271809665917228	-35.00202926941051	138.51411016424163	AUS	40301105748		Holdfast Bay C	Glenelg (SA)	South Australia		5044			8.271957015998609
156 Port Road Albertson SA	cad4a7ccb0f73c0c9f6a8e5b2856a60a473e89ce	-33.967895612236504	137.71142051169204	AUS	40504112410		Copper Coast DC	Kadina	South Australia		5554			78.06936130832466	-33.9627546122365	137.71561749667183	AUS	40504112409		Copper Coast DC	Kadina	South Australia		5554			78.21902863269163
156 Port Road Albertson SA	fd2168cb80ac65c5a3147a329f930181df7b8704	-35.07633537829783	138.8727676221202	AUS	40102100726		Mount Barker DC	Mount Barker	South Australia		5251			24.392720754346882	-35.076341378297826	138.87276862211775	AUS	40102100726		Mount Barker DC	Mount Barker	South Australia		5251			24.392995660614478
156 Port Road Albertson SA	c3761f657c2a997bc851d0e6fadc24ed14a77ced	-34.88096626772327	138.5121272492863	AUS	40401109510		Charles Sturt C	Seaton - Grange	South Australia		5023			0.1209763791036479	-34.880967267723264	138.51212924928157	AUS	40401109510		Charles Sturt C	Seaton - Grange	South Australia		5023			0.1208572293436921
156 Port Road Albertson SA	6cbc5e1b92b18b7822bb53f56adcf5602431cc1c	-34.962851808775554	138.54380542044996	AUS	40403110738		West Torrens C	Plympton	South Australia		5038			5.825298717025506	-34.91281780877556	138.6004364195837	AUS	40101100201		Adelaide C	North Adelaide	South Australia		5006			5.373043573109185
156 Port Road Albertson SA	63b8046b0deb8e60f8252ff619c63690f46b580c	-34.7207220956205	138.69580870474812	AUS	40202103120		Playford C	Elizabeth East	South Australia		5112			15.252245760965378	-34.7207310956205	138.69581170474797	AUS	40202103120		Playford C	Elizabeth East	South Australia		5112			15.251904631052094
156 Port Road Albertson SA	6ce5a1211a1a9e332bab636f6e53cedac83dc554	-34.89502519254955	138.50359692819376	AUS	40401109504		Charles Sturt C	Seaton - Grange	South Australia		5022			1.028821452217976	-34.89502419254955	138.5035989281945	AUS	40401109504		Charles Sturt C	Seaton - Grange	South Australia		5022			1.0287024212793254
156 Port Road Albertson SA	ed7b3d0fb27f4d48334bb85be98875697bd769eb	-35.275796831869386	138.46380314138912	AUS	40304107229		Onkaparinga C	Aldinga	South Australia		5173			27.352215939637727	-35.27579583186938	138.4638201413902	AUS	40304107229		Onkaparinga C	Aldinga	South Australia		5173			27.35204863995053
156 Port Road Albertson SA	54838d685d3170540e209b988fff7f506a93b7ed	-34.79546744113585	138.49061863006105	AUS	40402110024		Port Adelaide Enfield C	North Haven	South Australia		5018			6.152095538159002	-34.79545544113584	138.49078563007174	AUS	40402110024		Port Adelaide Enfield C	North Haven	South Australia		5018			6.150932857322165
156 Port Road Albertson SA	1ce38a1f4ce7db4ccc5255d11b944f187429d402	-35.012615571902025	138.51852966194315	AUS	40301105632		Holdfast Bay C	Brighton (SA)	South Australia		5048			9.009021819702065	-35.012623571902026	138.51851666192786	AUS	40301105632		Holdfast Bay C	Brighton (SA)	South Australia		5048			9.00955050674147
156 Port Road Albertson SA	bfe71bc08910343c2317d12daec7794ae159061a	-34.963680939923194	138.51979629329324	AUS	40403110748		West Torrens C	Plympton	South Australia		5045			5.631421437774128	-34.92534293992319	138.5953442744579	AUS	40101100147		Adelaide C	Adelaide	South Australia		5000			5.5211952179244435
156 Port Road Albertson SA	eba23a2912290c275eb9241a7f133166aa1a2685	-34.87007665906781	138.5861576890168	AUS	40203103622		Port Adelaide Enfield C	Enfield - Blair Athol	South Australia		5084			4.223786027942904	-34.87007965906781	138.5861516890287	AUS	40203103622		Port Adelaide Enfield C	Enfield - Blair Athol	South Australia		5084			4.223410504345674
156 Port Road Albertson SA	7302e394ecbd2c4968dc44057e161d02a5fa1c7c	-34.88525605244149	138.5123703690188	AUS	40401109508		Charles Sturt C	Seaton - Grange	South Australia		5023			0.20109089888648948													
156 Port Road Albertson SA	6dd6daa4db50942bb7d345647e72910d3468d595	-34.97439376817615	138.58753267006924	AUS	40303106828		Mitcham C	Colonel Light Gardens	South Australia		5041			7.628263054069305	-34.817246768176155	138.62187096162776	AUS	40204117118		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			7.638255432405316
156 Port Road Albertson SA	d0b2982c035bdffdfaa70933094322126aecbf4a	-35.09086419385112	138.53098786234958	AUS	40304108609		Onkaparinga C	Reynella	South Australia		5161			14.451526097520913	-35.09086319385111	138.53099886234898	AUS	40304108609		Onkaparinga C	Reynella	South Australia		5161			14.45150042409392
