Location	Bucket	Type	Visitor Count	Percentage
OTR Wayville	Walkerville M	Top CDL Municipality	14	0.52%
OTR Wayville	Alexandrina DC	Top CDL Municipality	13	0.48%
OTR Wayville	101401	Top CEL Micro	1	0.04%
OTR Wayville	130113	Top CEL Micro	1	0.04%
OTR Wayville	R30	Top CEL Micro	1	0.04%
OTR Wayville	101401	Top CDL Micro	1	0.04%
OTR Wayville	130113	Top CDL Micro	1	0.04%
OTR Wayville	Calgary	Top CDL Micro	1	0.04%
OTR Wayville	R30	Top CDL Micro	1	0.04%
OTR Wayville	40107102310	Top CEL Census Block Group	18	0.65%
OTR Wayville	40107102308	Top CEL Census Block Group	17	0.61%
OTR Wayville	40107102307	Top CEL Census Block Group	16	0.58%
OTR Wayville	40107102309	Top CEL Census Block Group	16	0.58%
OTR Wayville	40107102337	Top CEL Census Block Group	16	0.58%
OTR Wayville	40107102330	Top CEL Census Block Group	15	0.54%
OTR Wayville	40107102315	Top CEL Census Block Group	14	0.50%
OTR Wayville	40107102325	Top CEL Census Block Group	14	0.50%
OTR Wayville	40107102314	Top CEL Census Block Group	13	0.47%
OTR Wayville	40303106811	Top CEL Census Block Group	13	0.47%
OTR Wayville	40107102318	Top CEL Census Block Group	12	0.43%
OTR Wayville	40107102328	Top CEL Census Block Group	12	0.43%
OTR Wayville	40107102304	Top CEL Census Block Group	11	0.40%
OTR Wayville	40107102311	Top CEL Census Block Group	11	0.40%
OTR Wayville	40107102319	Top CEL Census Block Group	11	0.40%
OTR Wayville	40107102334	Top CEL Census Block Group	11	0.40%
OTR Wayville	40303106824	Top CEL Census Block Group	11	0.40%
OTR Wayville	40303106931	Top CEL Census Block Group	11	0.40%
OTR Wayville	40107102303	Top CEL Census Block Group	10	0.36%
OTR Wayville	40303106825	Top CEL Census Block Group	10	0.36%
OTR Wayville	40101100141	Top CDL Census Block Group	51	1.89%
OTR Wayville	40101100147	Top CDL Census Block Group	34	1.26%
OTR Wayville	40107102315	Top CDL Census Block Group	34	1.26%
OTR Wayville	40107102337	Top CDL Census Block Group	21	0.78%
OTR Wayville	40303106604	Top CDL Census Block Group	18	0.67%
OTR Wayville	40107102309	Top CDL Census Block Group	15	0.56%
OTR Wayville	40303106826	Top CDL Census Block Group	15	0.56%
OTR Wayville	40107102310	Top CDL Census Block Group	14	0.52%
OTR Wayville	40107102313	Top CDL Census Block Group	14	0.52%
OTR Wayville	40101100134	Top CDL Census Block Group	13	0.48%
OTR Wayville	40101100114	Top CDL Census Block Group	12	0.45%
OTR Wayville	40107102307	Top CDL Census Block Group	12	0.45%
OTR Wayville	40101100116	Top CDL Census Block Group	11	0.41%
OTR Wayville	40107102304	Top CDL Census Block Group	11	0.41%
OTR Wayville	40107102316	Top CDL Census Block Group	11	0.41%
OTR Wayville	40107102318	Top CDL Census Block Group	11	0.41%
OTR Wayville	40107102324	Top CDL Census Block Group	11	0.41%
OTR Wayville	40107102334	Top CDL Census Block Group	11	0.41%
OTR Wayville	40403110736	Top CDL Census Block Group	11	0.41%
OTR Wayville	40403110809	Top CDL Census Block Group	11	0.41%
OTR Wayville	AUS	Top CEL Country	2764	99.68%
OTR Wayville	USA	Top CEL Country	3	0.11%
OTR Wayville	THA	Top CEL Country	2	0.07%
OTR Wayville	HKG	Top CEL Country	1	0.04%
OTR Wayville	IND	Top CEL Country	1	0.04%
OTR Wayville	KOR	Top CEL Country	1	0.04%
OTR Wayville	LBN	Top CEL Country	1	0.04%
OTR Wayville	AUS	Top CDL Country	2681	99.59%
OTR Wayville	USA	Top CDL Country	3	0.11%
OTR Wayville	THA	Top CDL Country	2	0.07%
OTR Wayville	CAN	Top CDL Country	1	0.04%
OTR Wayville	DEU	Top CDL Country	1	0.04%
OTR Wayville	HKG	Top CDL Country	1	0.04%
OTR Wayville	IND	Top CDL Country	1	0.04%
OTR Wayville	KOR	Top CDL Country	1	0.04%
OTR Wayville	LBN	Top CDL Country	1	0.04%
